Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
A01	SYBR		Unkn			28.08246463	28.08246463	0	NaN	NaN	NaN	0	55	
A02	SYBR		Unkn			27.7393381	27.7393381	0	NaN	NaN	NaN	0	55	
A03	SYBR		Unkn			28.05786656	28.05786656	0	NaN	NaN	NaN	0	55	
A04	SYBR		Unkn			28.00754504	28.00754504	0	NaN	NaN	NaN	0	55	
A05	SYBR		Unkn			18.16275606	18.16275606	0	NaN	NaN	NaN	0	55	
A06	SYBR		Unkn			18.16462996	18.16462996	0	NaN	NaN	NaN	0	55	
A07	SYBR		Unkn			18.21398245	18.21398245	0	NaN	NaN	NaN	0	55	
A08	SYBR		Unkn			18.20358175	18.20358175	0	NaN	NaN	NaN	0	55	
A09	SYBR		Unkn			18.33877277	18.33877277	0	NaN	NaN	NaN	0	55	
A10	SYBR		Unkn			18.34735008	18.34735008	0	NaN	NaN	NaN	0	55	
A11	SYBR		Unkn			18.33577264	18.33577264	0	NaN	NaN	NaN	0	55	
A12	SYBR		Unkn			18.49512002	18.49512002	0	NaN	NaN	NaN	0	55	
A13	SYBR		Unkn			17.65223804	17.65223804	0	NaN	NaN	NaN	0	55	
A14	SYBR		Unkn			17.96487943	17.96487943	0	NaN	NaN	NaN	0	55	
A15	SYBR		Unkn			17.65535219	17.65535219	0	NaN	NaN	NaN	0	55	
A16	SYBR		Unkn			17.6695678	17.6695678	0	NaN	NaN	NaN	0	55	
A17	SYBR		Unkn			18.11245711	18.11245711	0	NaN	NaN	NaN	0	55	
A18	SYBR		Unkn			18.06525175	18.06525175	0	NaN	NaN	NaN	0	55	
A19	SYBR		Unkn			18.11486356	18.11486356	0	NaN	NaN	NaN	0	55	
A20	SYBR		Unkn			18.06657253	18.06657253	0	NaN	NaN	NaN	0	55	
A21	SYBR		Unkn			17.08861979	17.08861979	0	NaN	NaN	NaN	0	55	
A22	SYBR		Unkn			16.71384194	16.71384194	0	NaN	NaN	NaN	0	55	
