	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	SYBR		Unkn			32.1167257919932	32.1167257919932	0	NaN	NaN	NaN	0	55	
	A02	SYBR		Unkn			31.6933519217283	31.6933519217283	0	NaN	NaN	NaN	0	55	
	A03	SYBR		Unkn			30.8699808573482	30.8699808573482	0	NaN	NaN	NaN	0	55	
	A04	SYBR		Unkn			31.6599215189043	31.6599215189043	0	NaN	NaN	NaN	0	55	
	A05	SYBR		Unkn			18.0980164338065	18.0980164338065	0	NaN	NaN	NaN	0	55	
	A06	SYBR		Unkn			18.0943896888052	18.0943896888052	0	NaN	NaN	NaN	0	55	
	A07	SYBR		Unkn			18.0886709468273	18.0886709468273	0	NaN	NaN	NaN	0	55	
	A08	SYBR		Unkn			18.1837964180867	18.1837964180867	0	NaN	NaN	NaN	0	55	
	A09	SYBR		Unkn			17.7929380326867	17.7929380326867	0	NaN	NaN	NaN	0	55	
	A10	SYBR		Unkn			17.7686159783695	17.7686159783695	0	NaN	NaN	NaN	0	55	
	A11	SYBR		Unkn			17.7914134506641	17.7914134506641	0	NaN	NaN	NaN	0	55	
	A12	SYBR		Unkn			17.9120017788763	17.9120017788763	0	NaN	NaN	NaN	0	55	
	B01	SYBR		Unkn			17.8667516411894	17.8667516411894	0	NaN	NaN	NaN	0	55	
	B02	SYBR		Unkn			18.0423264297457	18.0423264297457	0	NaN	NaN	NaN	0	55	
	B03	SYBR		Unkn			17.9298836758755	17.9298836758755	0	NaN	NaN	NaN	0	55	
	B04	SYBR		Unkn			17.8664348184654	17.8664348184654	0	NaN	NaN	NaN	0	55	
	B05	SYBR		Unkn			18.6732353213747	18.6732353213747	0	NaN	NaN	NaN	0	55	
	B06	SYBR		Unkn			18.4680799257027	18.4680799257027	0	NaN	NaN	NaN	0	55	
	B07	SYBR		Unkn			18.4833789927265	18.4833789927265	0	NaN	NaN	NaN	0	55	
	B08	SYBR		Unkn			18.5217304335303	18.5217304335303	0	NaN	NaN	NaN	0	55	
	B09	SYBR		Unkn			16.9781851994407	16.9781851994407	0	NaN	NaN	NaN	0	55	
	B10	SYBR		Unkn			16.9401523728771	16.9401523728771	0	NaN	NaN	NaN	0	55	
	B11	SYBR		Unkn			16.9004203565589	16.9004203565589	0	NaN	NaN	NaN	0	55	
	B12	SYBR		Unkn			17.1062666570988	17.1062666570988	0	NaN	NaN	NaN	0	55	
	C01	SYBR		Unkn			17.4187918864889	17.4187918864889	0	NaN	NaN	NaN	0	55	
	C02	SYBR		Unkn			17.3790380230496	17.3790380230496	0	NaN	NaN	NaN	0	55	
	C03	SYBR		Unkn			17.3536048691344	17.3536048691344	0	NaN	NaN	NaN	0	55	
	C04	SYBR		Unkn			17.3115152164897	17.3115152164897	0	NaN	NaN	NaN	0	55	
	C05	SYBR		Unkn			17.1751072353087	17.1751072353087	0	NaN	NaN	NaN	0	55	
	C06	SYBR		Unkn			17.0398205078825	17.0398205078825	0	NaN	NaN	NaN	0	55	
	C07	SYBR		Unkn			17.1437914945013	17.1437914945013	0	NaN	NaN	NaN	0	55	
	C08	SYBR		Unkn			17.1229200707814	17.1229200707814	0	NaN	NaN	NaN	0	55	
	C09	SYBR		Unkn			18.3237073248758	18.3237073248758	0	NaN	NaN	NaN	0	55	
	C10	SYBR		Unkn			18.2925297413784	18.2925297413784	0	NaN	NaN	NaN	0	55	
	C11	SYBR		Unkn			18.420243630871	18.420243630871	0	NaN	NaN	NaN	0	55	
	C12	SYBR		Unkn			18.3150767352124	18.3150767352124	0	NaN	NaN	NaN	0	55	
	D01	SYBR		Unkn			17.2069697412578	17.2069697412578	0	NaN	NaN	NaN	0	55	
	D02	SYBR		Unkn			17.0983951301963	17.0983951301963	0	NaN	NaN	NaN	0	55	
	D03	SYBR		Unkn			17.2068597657764	17.2068597657764	0	NaN	NaN	NaN	0	55	
	D04	SYBR		Unkn			17.1714958817504	17.1714958817504	0	NaN	NaN	NaN	0	55	
	D05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D06	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D07	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D08	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	D12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	E01	SYBR		Unkn			33.4595899781476	33.4595899781476	0	NaN	NaN	NaN	0	55	
	E02	SYBR		Unkn			33.3734296514602	33.3734296514602	0	NaN	NaN	NaN	0	55	
	E03	SYBR		Unkn			33.6905050986763	33.6905050986763	0	NaN	NaN	NaN	0	55	
	E04	SYBR		Unkn			33.4153443944767	33.4153443944767	0	NaN	NaN	NaN	0	55	
	E05	SYBR		Unkn			22.3917687444399	22.3917687444399	0	NaN	NaN	NaN	0	55	
	E06	SYBR		Unkn			22.3051125757075	22.3051125757075	0	NaN	NaN	NaN	0	55	
	E07	SYBR		Unkn			22.3051515715353	22.3051515715353	0	NaN	NaN	NaN	0	55	
	E08	SYBR		Unkn			22.3283180734941	22.3283180734941	0	NaN	NaN	NaN	0	55	
	E09	SYBR		Unkn			21.9246716242254	21.9246716242254	0	NaN	NaN	NaN	0	55	
	E10	SYBR		Unkn			21.8535902372828	21.8535902372828	0	NaN	NaN	NaN	0	55	
	E11	SYBR		Unkn			21.8714216995134	21.8714216995134	0	NaN	NaN	NaN	0	55	
	E12	SYBR		Unkn			21.8747145147522	21.8747145147522	0	NaN	NaN	NaN	0	55	
	F01	SYBR		Unkn			21.9858357973435	21.9858357973435	0	NaN	NaN	NaN	0	55	
	F02	SYBR		Unkn			22.0055120943307	22.0055120943307	0	NaN	NaN	NaN	0	55	
	F03	SYBR		Unkn			21.9281331343746	21.9281331343746	0	NaN	NaN	NaN	0	55	
	F04	SYBR		Unkn			21.8317440431816	21.8317440431816	0	NaN	NaN	NaN	0	55	
	F05	SYBR		Unkn			22.3118093926571	22.3118093926571	0	NaN	NaN	NaN	0	55	
	F06	SYBR		Unkn			22.3415813287897	22.3415813287897	0	NaN	NaN	NaN	0	55	
	F07	SYBR		Unkn			22.3858178150094	22.3858178150094	0	NaN	NaN	NaN	0	55	
	F08	SYBR		Unkn			22.3762654114571	22.3762654114571	0	NaN	NaN	NaN	0	55	
	F09	SYBR		Unkn			21.0052813648195	21.0052813648195	0	NaN	NaN	NaN	0	55	
	F10	SYBR		Unkn			20.6874996197041	20.6874996197041	0	NaN	NaN	NaN	0	55	
	F11	SYBR		Unkn			20.7152950926905	20.7152950926905	0	NaN	NaN	NaN	0	55	
	F12	SYBR		Unkn			20.7138382407924	20.7138382407924	0	NaN	NaN	NaN	0	55	
	G01	SYBR		Unkn			21.3387899589521	21.3387899589521	0	NaN	NaN	NaN	0	55	
	G02	SYBR		Unkn			21.3387306077031	21.3387306077031	0	NaN	NaN	NaN	0	55	
	G03	SYBR		Unkn			21.2589118037622	21.2589118037622	0	NaN	NaN	NaN	0	55	
	G04	SYBR		Unkn			21.3004848531375	21.3004848531375	0	NaN	NaN	NaN	0	55	
	G05	SYBR		Unkn			20.8012032021235	20.8012032021235	0	NaN	NaN	NaN	0	55	
	G06	SYBR		Unkn			20.7506569162872	20.7506569162872	0	NaN	NaN	NaN	0	55	
	G07	SYBR		Unkn			20.7752857076369	20.7752857076369	0	NaN	NaN	NaN	0	55	
	G08	SYBR		Unkn			20.7258670669654	20.7258670669654	0	NaN	NaN	NaN	0	55	
	G09	SYBR		Unkn			21.6388200692658	21.6388200692658	0	NaN	NaN	NaN	0	55	
	G10	SYBR		Unkn			21.6058301707167	21.6058301707167	0	NaN	NaN	NaN	0	55	
	G11	SYBR		Unkn			21.7318094038012	21.7318094038012	0	NaN	NaN	NaN	0	55	
	G12	SYBR		Unkn			21.8737105526244	21.8737105526244	0	NaN	NaN	NaN	0	55	
	H01	SYBR		Unkn			20.691419313826	20.691419313826	0	NaN	NaN	NaN	0	55	
	H02	SYBR		Unkn			20.5836772168713	20.5836772168713	0	NaN	NaN	NaN	0	55	
	H03	SYBR		Unkn			20.4865867642145	20.4865867642145	0	NaN	NaN	NaN	0	55	
	H04	SYBR		Unkn			20.6874898981224	20.6874898981224	0	NaN	NaN	NaN	0	55	
	H05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H06	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H07	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H08	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
	H12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	55	
