Well 	Sample 	Primer
A01	control_sample1	control_primer
A02	control_sample1	control_primer
A03	control_sample1	control_primer
A04	control_sample1	control_primer
A05	sample_of_interest1	control_primer
A06	sample_of_interest1	control_primer
A07	sample_of_interest1	control_primer
A08	sample_of_interest1	control_primer
A09	sample_of_interest2	control_primer
A10	sample_of_interest2	control_primer
A11	sample_of_interest2	control_primer
A12	sample_of_interest2	control_primer
A13	sample_of_interest3	control_primer
A14	sample_of_interest3	control_primer
A15	sample_of_interest3	control_primer
A16	sample_of_interest3	control_primer
A17	sample_of_interest4	control_primer
A18	sample_of_interest4	control_primer
A19	sample_of_interest4	control_primer
A20	sample_of_interest4	control_primer
A21	sample_of_interest5	control_primer
A22	sample_of_interest5	control_primer
A23	sample_of_interest5	control_primer
A24	sample_of_interest5	control_primer
B01	control_sample1	primer_of_interest1
B02	control_sample1	primer_of_interest1
B03	control_sample1	primer_of_interest1
B04	control_sample1	primer_of_interest1
B05	sample_of_interest1	primer_of_interest1
B06	sample_of_interest1	primer_of_interest1
B07	sample_of_interest1	primer_of_interest1
B08	sample_of_interest1	primer_of_interest1
B09	sample_of_interest2	primer_of_interest1
B10	sample_of_interest2	primer_of_interest1
B11	sample_of_interest2	primer_of_interest1
B12	sample_of_interest2	primer_of_interest1
B13	sample_of_interest3	primer_of_interest1
B14	sample_of_interest3	primer_of_interest1
B15	sample_of_interest3	primer_of_interest1
B16	sample_of_interest3	primer_of_interest1
B17	sample_of_interest4	primer_of_interest1
B18	sample_of_interest4	primer_of_interest1
B19	sample_of_interest4	primer_of_interest1
B20	sample_of_interest4	primer_of_interest1
B21	sample_of_interest5	primer_of_interest1
B22	sample_of_interest5	primer_of_interest1
B23	sample_of_interest5	primer_of_interest1
B24	sample_of_interest5	primer_of_interest1
C01	control_sample1	primer_of_interest2
C02	control_sample1	primer_of_interest2
C03	control_sample1	primer_of_interest2
C04	control_sample1	primer_of_interest2
C05	sample_of_interest1	primer_of_interest2
C06	sample_of_interest1	primer_of_interest2
C07	sample_of_interest1	primer_of_interest2
C08	sample_of_interest1	primer_of_interest2
C09	sample_of_interest2	primer_of_interest2
C10	sample_of_interest2	primer_of_interest2
C11	sample_of_interest2	primer_of_interest2
C12	sample_of_interest2	primer_of_interest2
C13	sample_of_interest3	primer_of_interest2
C14	sample_of_interest3	primer_of_interest2
C15	sample_of_interest3	primer_of_interest2
C16	sample_of_interest3	primer_of_interest2
C17	sample_of_interest4	primer_of_interest2
C18	sample_of_interest4	primer_of_interest2
C19	sample_of_interest4	primer_of_interest2
C20	sample_of_interest4	primer_of_interest2
C21	sample_of_interest5	primer_of_interest2
C22	sample_of_interest5	primer_of_interest2
C23	sample_of_interest5	primer_of_interest2
C24	sample_of_interest5	primer_of_interest2
D01	control_sample1	primer_of_interest3
D02	control_sample1	primer_of_interest3
D03	control_sample1	primer_of_interest3
D04	control_sample1	primer_of_interest3
D05	sample_of_interest1	primer_of_interest3
D06	sample_of_interest1	primer_of_interest3
D07	sample_of_interest1	primer_of_interest3
D08	sample_of_interest1	primer_of_interest3
D09	sample_of_interest2	primer_of_interest3
D10	sample_of_interest2	primer_of_interest3
D11	sample_of_interest2	primer_of_interest3
D12	sample_of_interest2	primer_of_interest3
D13	sample_of_interest3	primer_of_interest3
D14	sample_of_interest3	primer_of_interest3
D15	sample_of_interest3	primer_of_interest3
D16	sample_of_interest3	primer_of_interest3
D17	sample_of_interest4	primer_of_interest3
D18	sample_of_interest4	primer_of_interest3
D19	sample_of_interest4	primer_of_interest3
D20	sample_of_interest4	primer_of_interest3
D21	sample_of_interest5	primer_of_interest3
D22	sample_of_interest5	primer_of_interest3
D23	sample_of_interest5	primer_of_interest3
D24	sample_of_interest5	primer_of_interest3
E01	blank 	blank 
E02	blank 	blank 
E03	blank 	blank 
E04	blank 	blank 
E05	blank 	blank 
E06	blank 	blank 
E07	blank 	blank 
E08	blank 	blank 
E09	blank 	blank 
E10	blank 	blank 
E11	blank 	blank 
E12	blank 	blank 
E13	blank 	blank 
E14	blank 	blank 
E15	blank 	blank 
E16	blank 	blank 
E17	blank 	blank 
E18	blank 	blank 
E19	blank 	blank 
E20	blank 	blank 
E21	blank 	blank 
E22	blank 	blank 
E23	blank 	blank 
E24	blank 	blank 
F01	blank 	blank 
F02	blank 	blank 
F03	blank 	blank 
F04	blank 	blank 
F05	blank 	blank 
F06	blank 	blank 
F07	blank 	blank 
F08	blank 	blank 
F09	blank 	blank 
F10	blank 	blank 
F11	blank 	blank 
F12	blank 	blank 
F13	blank 	blank 
F14	blank 	blank 
F15	blank 	blank 
F16	blank 	blank 
F17	blank 	blank 
F18	blank 	blank 
F19	blank 	blank 
F20	blank 	blank 
F21	blank 	blank 
F22	blank 	blank 
F23	blank 	blank 
F24	blank 	blank 
G01	blank 	blank 
G02	blank 	blank 
G03	blank 	blank 
G04	blank 	blank 
G05	blank 	blank 
G06	blank 	blank 
G07	blank 	blank 
G08	blank 	blank 
G09	blank 	blank 
G10	blank 	blank 
G11	blank 	blank 
G12	blank 	blank 
G13	blank 	blank 
G14	blank 	blank 
G15	blank 	blank 
G16	blank 	blank 
G17	blank 	blank 
G18	blank 	blank 
G19	blank 	blank 
G20	blank 	blank 
G21	blank 	blank 
G22	blank 	blank 
G23	blank 	blank 
G24	blank 	blank 
H01	blank 	blank 
H02	blank 	blank 
H03	blank 	blank 
H04	blank 	blank 
H05	blank 	blank 
H06	blank 	blank 
H07	blank 	blank 
H08	blank 	blank 
H09	blank 	blank 
H10	blank 	blank 
H11	blank 	blank 
H12	blank 	blank 
H13	blank 	blank 
H14	blank 	blank 
H15	blank 	blank 
H16	blank 	blank 
H17	blank 	blank 
H18	blank 	blank 
H19	blank 	blank 
