"CT"	"Sample"	"Primer"
32.1167257919932	"control_sample"	"control_primer"
31.6933519217283	"control_sample"	"control_primer"
30.8699808573482	"control_sample"	"control_primer"
31.6599215189043	"control_sample"	"control_primer"
18.0980164338065	"sample_of_interest1"	"control_primer"
18.0943896888052	"sample_of_interest1"	"control_primer"
18.0886709468273	"sample_of_interest1"	"control_primer"
18.1837964180867	"sample_of_interest1"	"control_primer"
17.7929380326867	"sample_of_interest2"	"control_primer"
17.7686159783695	"sample_of_interest2"	"control_primer"
17.7914134506641	"sample_of_interest2"	"control_primer"
17.9120017788763	"sample_of_interest2"	"control_primer"
17.8667516411894	"sample_of_interest3"	"control_primer"
18.0423264297457	"sample_of_interest3"	"control_primer"
17.9298836758755	"sample_of_interest3"	"control_primer"
17.8664348184654	"sample_of_interest3"	"control_primer"
18.6732353213747	"sample_of_interest4"	"control_primer"
18.4680799257027	"sample_of_interest4"	"control_primer"
18.4833789927265	"sample_of_interest4"	"control_primer"
18.5217304335303	"sample_of_interest4"	"control_primer"
16.9781851994407	"sample_of_interest5"	"control_primer"
16.9401523728771	"sample_of_interest5"	"control_primer"
16.9004203565589	"sample_of_interest5"	"control_primer"
17.1062666570988	"sample_of_interest5"	"control_primer"
17.4187918864889	"sample_of_interest6"	"control_primer"
17.3790380230496	"sample_of_interest6"	"control_primer"
17.3536048691344	"sample_of_interest6"	"control_primer"
17.3115152164897	"sample_of_interest6"	"control_primer"
17.1751072353087	"sample_of_interest7"	"control_primer"
17.0398205078825	"sample_of_interest7"	"control_primer"
17.1437914945013	"sample_of_interest7"	"control_primer"
17.1229200707814	"sample_of_interest7"	"control_primer"
18.3237073248758	"sample_of_interest8"	"control_primer"
18.2925297413784	"sample_of_interest8"	"control_primer"
18.420243630871	"sample_of_interest8"	"control_primer"
18.3150767352124	"sample_of_interest8"	"control_primer"
17.2069697412578	"sample_of_interest9"	"control_primer"
17.0983951301963	"sample_of_interest9"	"control_primer"
17.2068597657764	"sample_of_interest9"	"control_primer"
17.1714958817504	"sample_of_interest9"	"control_primer"
33.4595899781476	"control_sample"	"primer_of_interest"
33.3734296514602	"control_sample"	"primer_of_interest"
33.6905050986763	"control_sample"	"primer_of_interest"
33.4153443944767	"control_sample"	"primer_of_interest"
22.3917687444399	"sample_of_interest1"	"primer_of_interest"
22.3051125757075	"sample_of_interest1"	"primer_of_interest"
22.3051515715353	"sample_of_interest1"	"primer_of_interest"
22.3283180734941	"sample_of_interest1"	"primer_of_interest"
21.9246716242254	"sample_of_interest2"	"primer_of_interest"
21.8535902372828	"sample_of_interest2"	"primer_of_interest"
21.8714216995134	"sample_of_interest2"	"primer_of_interest"
21.8747145147522	"sample_of_interest2"	"primer_of_interest"
21.9858357973435	"sample_of_interest3"	"primer_of_interest"
22.0055120943307	"sample_of_interest3"	"primer_of_interest"
21.9281331343746	"sample_of_interest3"	"primer_of_interest"
21.8317440431816	"sample_of_interest3"	"primer_of_interest"
22.3118093926571	"sample_of_interest4"	"primer_of_interest"
22.3415813287897	"sample_of_interest4"	"primer_of_interest"
22.3858178150094	"sample_of_interest4"	"primer_of_interest"
22.3762654114571	"sample_of_interest4"	"primer_of_interest"
21.0052813648195	"sample_of_interest5"	"primer_of_interest"
20.6874996197041	"sample_of_interest5"	"primer_of_interest"
20.7152950926905	"sample_of_interest5"	"primer_of_interest"
20.7138382407924	"sample_of_interest5"	"primer_of_interest"
21.3387899589521	"sample_of_interest6"	"primer_of_interest"
21.3387306077031	"sample_of_interest6"	"primer_of_interest"
21.2589118037622	"sample_of_interest6"	"primer_of_interest"
21.3004848531375	"sample_of_interest6"	"primer_of_interest"
20.8012032021235	"sample_of_interest7"	"primer_of_interest"
20.7506569162872	"sample_of_interest7"	"primer_of_interest"
20.7752857076369	"sample_of_interest7"	"primer_of_interest"
20.7258670669654	"sample_of_interest7"	"primer_of_interest"
21.6388200692658	"sample_of_interest8"	"primer_of_interest"
21.6058301707167	"sample_of_interest8"	"primer_of_interest"
21.7318094038012	"sample_of_interest8"	"primer_of_interest"
21.8737105526244	"sample_of_interest8"	"primer_of_interest"
20.691419313826	"sample_of_interest9"	"primer_of_interest"
20.5836772168713	"sample_of_interest9"	"primer_of_interest"
20.4865867642145	"sample_of_interest9"	"primer_of_interest"
20.6874898981224	"sample_of_interest9"	"primer_of_interest"
